lineage,group
FD.4,FD.4/FG.3/XBB.1.5.55
FE.1,FE.1
FE.1.1.1,FE.1.1.1
FF.1,FF.1
FG.2,FG.2
FH.1,FH.1/XBB.1.5.14/XBB.1.5.99
FJ.1,FJ.1
FK.1.2,FK.1.2
FL.1,FL.1/FZ.1/GW.3
FL.1.3,FL.1.3
FL.1.5.1,FL.1.5.1/HN.1/HN.4/HN.5/HN.6/HN.7/JF.4/XBB.1.16.27/XBB.1.16.6/XBB.1.16.9/XDA/XDA.1
FL.1.5.2,FL.1.5.2
FL.10.1,FL.10.1
FL.12,FL.12/XBB.1.5.75
FL.13.1,FL.13.1
FL.15.1.1,FL.15.1.1/GK.1.6.1/GK.4/JD.1.1/JD.1.1.4/JD.1.1.8/KK.1
FL.15.2,FL.15.2
FL.15.4,FL.15.4
FL.18,FL.18/XBB.1/XBB.1.35
FL.19,FL.19/FL.31
FL.2,FL.2/XBB.1.5.1/XBB.1.5.54
FL.2.3,FL.2.3
FL.2.4,FL.2.4/FY.2
FL.20,FL.20/KA.1
FL.20.1,FL.20.1
FL.20.2,FL.20.2
FL.21,FL.21
FL.24.1,FL.24.1/FU.1/FU.2/FY.5/FY.5.1/FY.5.4/GB.2/GG.1/GY.6/HF.1/HP.1.1/XBB.1.16/XBB.1.16.1/XBB.1.16.13/XBB.1.16.17/XBB.1.16.19/XBB.1.16.21/XBB.1.16.23/XBB.1.16.25/XBB.1.16.28/XBB.1.16.3/XBB.1.16.30/XBB.1.16.5/XBB.1.42.1/XBB.1.5.98
FL.27,FL.27
FL.29,FL.29/FL.40
FL.3,FL.3
FL.35,FL.35/XBB.1.5.35
FL.36,FL.36
FL.37,FL.37
FL.4.1,FL.4.1
FL.4.9,FL.4.9
FL.9,FL.9
FR.1,FR.1
FS.1,FS.1
FT.3.1.1,FT.3.1.1
FU.2.1,FU.2.1
FU.5,FU.5
FW.1,FW.1
FY.1,FY.1
FY.3.1,FY.3.1/GA.5/XBB.1.22.1/XBB.1.5.100/XBB.1.5.73
FY.4,FY.4
FY.4.1,FY.4.1
FY.4.1.2,FY.4.1.2
FY.5.1.1,FY.5.1.1
GA.2,GA.2
GA.4.1,GA.4.1
GB.1,GB.1
GC.2,GC.2
GD.2,GD.2
GE.1,GE.1
GE.1.1,GE.1.1/GE.1.3/GE.1.4/GE.1.5/GJ.1.2.7/GS.4/GS.4.1/GS.5
GE.1.2,GE.1.2
GE.1.6,GE.1.6/GJ.1.2.2/XBB.2.3.11
GJ.1.1,GJ.1.1/GJ.1.2/HH.1.1/HH.7/XBB.2.3.1/XBB.2.3.22/XBB.2.3.3/XCW
GJ.1.2.4,GJ.1.2.4
GK.1,GK.1/HK.27.1
GK.1.9,GK.1.9/GK.7
GK.3.1,GK.3.1
GL.1,GL.1
GL.3,GL.3
GN.1,GN.1
GP.3,GP.3
GR.1,GR.1
GS.7,GS.7
GS.8,GS.8
GT.1,GT.1/XBC.1.6.1
GW.5.2,GW.5.2/GW.5.3
GW.5.3.1,GW.5.3.1
HH.1,HH.1
HH.2,HH.2
HH.5,HH.5
HK.1,HK.1
HK.1.2,HK.1.2
HK.11,HK.11
HK.13,HK.13
HK.13.2.1,HK.13.2.1
HK.15,HK.15
HK.2,HK.2
HK.25,HK.25
HK.27,HK.27
HK.3.1,HK.3.1
HK.3.2,HK.3.2/HK.3.2.1
HK.3.3,HK.3.3
HK.32,HK.32
HK.6,HK.6
HK.8,HK.8
HN.2.1,HN.2.1
HV.1,HV.1/HV.1.4/HV.1.5/HV.1.6
HV.1.1,HV.1.1
HV.1.2,HV.1.2
HV.1.3,HV.1.3
HW.1.1,HW.1.1
HZ.1,HZ.1/XBB.1.16.11
JA.1,JA.1
JB.2.1,JB.2.1
JD.1.1.1,JD.1.1.1
