lineages_l,number_genomes_per_lineage
CK.1.5,3
CK.2,6
CK.2.1,214
CK.2.1.1,291
CK.3,27
CL.1,442
CL.1.1,303
CL.1.2,10
CL.1.3,46
CM.1,3
CM.10,10
CM.12,3
CM.2,24
CM.2.1,3
CM.3,4
CM.4,54
CM.5,14
CM.5.1,3
CM.6.1,4
CM.7,1
CM.7.1,1
CM.8.1,10
CM.8.1.1,1
CM.8.1.2,7
CM.8.1.4,6
CN.1,94
CN.2,1
CP.1,19
CP.1.1,92
CP.1.2,5
CP.2,4
CP.4,2
CP.5,6
CP.8,45
CQ.1,25
CQ.2,19
CR.1,177
CR.1.1,24
CR.1.3,15
CR.2,8
CT.1,7
CU.1,7
CV.1,16
CY.1,11
CZ.1,1
CZ.2,5
DA.1,1
DB.1,87
DB.2,7
DC.1,3
DE.1,9
DE.2,29
DF.1,27
DF.1.1,36
DG.1,54
DJ.1.1,12
DJ.1.1.1,2
DJ.1.3,1
DL.1,15
DM.1,25
DN.1,20
DN.1.1,26
DN.1.1.4,1
DN.2,10
DN.3.1,1
DP.1,1
DQ.1,172
DR.1,14
DS.1,10
DS.2,301
DS.3,11
DT.2,19
DT.3,1
DU.1,39
DV.1,6
DV.1.1,50
DV.2,28
DV.3,8
DV.3.1,10
DV.6,249
DV.6.1,25
DV.6.2,8
DV.7,21
DV.7.1,11
DV.7.1.2,6
DV.7.1.3,1
DV.7.1.4,3
DV.7.1.5,7
DV.7.1.6,2
DV.7.1.8,1
DV.8,2
DY.2,6
DY.3,2
DY.4,1
EA.1,216
EA.2,6
EC.1,6
EC.1.1,11
ED.2,9
EE.1,11
EE.2,11
EE.3,5
EE.4,84
EE.5,5
EF.1,353
EF.1.1,189
EF.1.2,41
EF.1.3,12
EF.2,4
EF.3,30
EG.1,334
EG.1.2,93
EG.1.3,72
EG.1.4,157
EG.1.5,1
EG.1.6,162
EG.1.7,3
EG.10,5
EG.10.1,8
EG.10.1.1,111
EG.12,3
EG.13,7
EG.14,2
EG.2,7
EG.3,2
EG.4,19
EG.4.4,10
EG.4.5,1
EG.5,1
EG.5.1,90
EG.5.1.1,135
EG.5.1.11,3
EG.5.1.12,4
EG.5.1.13,10
EG.5.1.14,1
EG.5.1.15,2
EG.5.1.19,4
EG.5.1.2,4
EG.5.1.3,261
EG.5.1.4,64
EG.5.1.5,9
EG.5.1.6,19
EG.5.1.7,1
EG.5.1.8,12
EG.5.1.9,3
EG.5.2,8
EG.5.2.3,9
EG.6,2
EG.6.1,23
EG.6.1.1,3
EG.6.1.2,2
EG.7,3
EG.8,16
EH.1,21
EJ.1,19
EJ.2,8
EK.3,6
EL.1,98
EM.1,28
EN.1,179
EN.1.1,1
EP.2,8
EQ.1,49
ER.1,4
ER.1.1,6
ET.1,26
