,Day since infection,"Proba Neut Min
 vs. BN antigen","Proba Neut Max
 vs. BN antigen","Proba Neut Min
 vs. bbb antigen","Proba Neut Max
 vs. bbb antigen"
348,349,0.0018473719602177807,0.4973631678321364,0.0003693391957089176,0.13428686769795628
349,350,0.0017969086035299897,0.4940809767393721,0.00035924164748679654,0.13304970985683384
350,351,0.001747822306467306,0.49080709611653095,0.00034942010660488076,0.1318229499491803
351,352,0.0017000755675472545,0.48754172313504185,0.0003398670315950536,0.1306065197315348
352,353,0.0016536319024575974,0.48428505160393476,0.0003305750868899393,0.12940035102862635
353,354,0.0016084558166910012,0.4810372719635738,0.00032153713720872723,0.12820437574230392
354,355,0.0015645127789013502,0.47779857128078485,0.00031274624209631785,0.12701852586025386
355,356,0.0015217691949670487,0.47456913324536987,0.0003041956506134591,0.1258427334645087
356,357,0.0014801923827382213,0.47134913816797164,0.00029587879616777,0.12467693073974873
357,358,0.0014397505474618155,0.46813876297926116,0.00028778929148653987,0.12352104998139957
358,359,0.0014004127578510772,0.4649381812304252,0.00027992092372552957,0.12237502360352981
359,360,0.0013621489227964023,0.46174756309492326,0.0002722676497152188,0.12123878414654832
360,361,0.0013249297686940276,0.458567075371487,0.0002648235913285113,0.12011226428470967
361,362,0.0012887268173799038,0.45539688148833424,0.000257583030980002,0.11899539683342575
362,363,0.0012535123646465474,0.4522371415085703,0.0002505404072494777,0.11788811475638517
363,364,0.0012192594593413153,0.4490880121367484,0.00024369031061732827,0.11679035117249159
364,365,0.0011859418830130197,0.44594964672656,0.0002370274793220828,0.11570203936261225
365,366,0.001153534130109879,0.44282219528962974,0.00023054679532974465,0.11462311277614934
366,367,0.0011220113887004945,0.4397058045053822,0.00022424328041104058,0.11355350503743067
367,368,0.0010913495217151903,0.4366006177319617,0.00021811209232558415,0.11249314995192716
368,369,0.0010615250486852856,0.4335067750181608,0.00021214852111262061,0.11144198151229368
369,370,0.0010325151279747535,0.4304244131163504,0.00020634798548013755,0.11039993390424407
370,371,0.0010042975394822795,0.4273536654963669,0.00020070602929267434,0.10936694151225412
371,372,0.0009768506678159428,0.4242946623603332,0.000195218318155721,0.10834293892510527
372,373,0.0009501534859089888,0.42124753065839404,0.00018988063609370887,0.10732786094125912
373,374,0.0009241855390834663,0.4182123941053235,0.00018468888231537584,0.10632164257407872
374,375,0.0008989269295356372,0.415189373197992,0.00017963906807172414,0.10532421905689138
375,376,0.0008743583012417178,0.41217858523365325,0.00017472731359602367,0.10433552584789274
376,377,0.0008504608252697388,0.40918014432903427,0.0001699498451295245,0.10335549863490678
377,378,0.0008272161854815385,0.40619416144019493,0.00016530299202544008,0.102384073339989
378,379,0.000804606564625665,0.4032207443831326,0.00016078318393542013,0.10142118612388906
379,380,0.0007826146307989834,0.4002599978551048,0.00015638694807096343,0.10046677339036547
380,381,0.0007612235242770993,0.39731202345664907,0.00015211090653832748,0.099520771790361
381,382,0.000740416844697056,0.39437691971426236,0.00014795177374848922,0.09858311822603727
382,383,0.0007201786385855335,0.3914547821037284,0.00014390635389516238,0.09765374985467301
383,384,0.0007004933872234442,0.38854570307405667,0.00013997153850509036,0.09673260409242912
384,385,0.0006813459948397105,0.38564977207201445,0.00013614430405062272,0.0958196186179805
385,386,0.0006627217771204563,0.38276707556722367,0.0001324217096315694,0.09491473137601925
386,387,0.0006446064500297277,0.37989769707780063,0.00012880089471778433,0.0940178805806301
387,388,0.0006269861189328596,0.37704171719651136,0.0001252790769544765,0.09312900471854135
388,389,0.0006098472680112765,0.3741992136174245,0.00012185355002680698,0.09224804255225338
389,390,0.0005931767499668394,0.3713702611630302,0.00011852168158188459,0.0913749331230469
390,391,0.0005769617760015278,0.36855493181180876,0.00011528091121071338,0.09050961575387206
391,392,0.0005611899060676828,0.3657532947262244,0.00011212874848098853,0.08965203005212374
392,393,0.0005458490393847049,0.36296541628111856,0.00010906277102751272,0.0888021159123018
393,394,0.0005309274052103241,0.36019136009248587,0.00010608062268979701,0.08795981351856041
394,395,0.000516413553861117,0.35743118704660615,0.00010318001170761537,0.08712506334714787
395,396,0.0005022963479770493,0.3546849553295165,0.00010035870895686028,0.08629780616873894
396,397,0.0004885649540250503,0.35195272045679615,9.761454624268584e-05,0.08547798305066434
397,398,0.0004752088340247429,0.3492345353036488,9.49454146322859e-05,0.08466553535903376
398,399,0.0004622177375088743,0.3465304501352605,9.234926283718803e-05,0.08386040476075995
399,400,0.00044958169369302414,0.3438405126374118,8.982409563740301e-05,0.08306253322548496
