,Day since infection,"Proba Neut Min
 vs. JN.1 antigen","Proba Neut Max
 vs. JN.1 antigen","Proba Neut Min
 vs. BA.2.87.1 antigen","Proba Neut Max
 vs. BA.2.87.1 antigen"
263,264,0.0011555778573698605,0.09551077633209992,0.019301084815436242,0.7792773404729899
264,265,0.0011239997948953029,0.09461160879258945,0.018779123356723937,0.776281635677298
265,266,0.0010932840891740847,0.09372037486792961,0.01827112321003388,0.7732697951447209
266,267,0.0010634072208409728,0.09283701479565531,0.017776719212344916,0.7702421002955795
267,268,0.0010343463103403838,0.09196146906217517,0.017295555306423016,0.7671988356479037
268,269,0.0010060791006040182,0.0910936784061086,0.016827284337980863,0.7641402886998091
269,270,0.0009785839402044472,0.09023358382150004,0.016371567855997804,0.7610667498112984
270,271,0.0009518397669514567,0.08938112656091879,0.015928075916230355,0.7579785120855748
271,272,0.0009258260919314809,0.08853624813844085,0.01549648688794314,0.7548758712499506
272,273,0.0009005229839763595,0.08769889033252154,0.015076487263884109,0.751759125536442
273,274,0.0008759110545460969,0.08686899518875368,0.014667771473512503,0.7486285755621256
274,275,0.0008519714430212932,0.0860465050225172,0.01427004169949786,0.7454845242093524
275,276,0.0008286858023871524,0.08523136242152618,0.013883007697487626,0.7423272765058863
276,277,0.0008060362853057335,0.08442351024826433,0.013506386619146826,0.7391571395050629
277,278,0.0007840055305603499,0.08362289164232373,0.013139902838465778,0.7359744221660369
278,279,0.0007625766498648989,0.08282945002263842,0.012783287781326091,0.7327794352342054
279,280,0.0007417332150313483,0.08204312908962053,0.012436279758307411,0.7295724911218767
280,281,0.0007214592454791724,0.08126387282720138,0.0120986238007319,0.7263539037892658
281,282,0.0007017391960832953,0.08049162550477185,0.011770071499913382,0.7231239886258889
282,283,0.0006825579453488828,0.07972633167903753,0.011450380849596598,0.7198830623324302
283,284,0.0006639007839059907,0.07896793619577314,0.011139316091561713,0.7166314428031493
284,285,0.0006457534033137424,0.07821638419149612,0.010836647564361201,0.7133694490089052
285,286,0.0006281018851661546,0.07747162109504568,0.010542151555168355,0.7100974008808585
286,287,0.0006109326904941703,0.07673359262907942,0.010255610154698114,0.7068156191949213
287,288,0.0005942326494523531,0.07600224481148432,0.00997681111516846,0.7035244254570187
288,289,0.000577988951282471,0.07527752395670473,0.009705547711274076,0.7002241417892252
289,290,0.0005621891345544139,0.07455937667699275,0.009441618604121182,0.6969150908168358
290,291,0.0005468210776623517,0.0738477498835729,0.009184827708104581,0.6935975955564344
291,292,0.000531872989586013,0.07314259078773677,0.008934984060669726,0.6902719793050109
292,293,0.0005173334008963248,0.07244384690185612,0.008691901694932058,0.6869385655301894
293,294,0.0005031911550075208,0.07175146604032467,0.008455399515107431,0.683597677761616
294,295,0.000489435399663618,0.07106539632042597,0.008225301174712318,0.680249639483562
295,296,0.00047605557865848525,0.07038558616313073,0.008001434957491171,0.676894774028789
296,297,0.0004630414237771774,0.06971198429382419,0.007783633661029521,0.6735334044737267
297,298,0.0004503829469568732,0.06904453974296709,0.007571734483008297,0.670165853535007
298,299,0.00043807043266153034,0.06838320184668645,0.00736557891005496,0.666792443467402
299,300,0.00042609443046037754,0.06772792024730556,0.007165012609147592,0.6634134959632058
300,301,0.00041444574780857835,0.06707864489380799,0.006969885321528313,0.6600293320530979
301,302,0.00040311544302773505,0.0664353260422399,0.006780050759082834,0.6566402720085363
302,303,0.00039209481846780303,0.0657979142560513,0.00659536650313608,0.6532466352457016
303,304,0.00038137541386562557,0.06516636040637958,0.006415693905629127,0.6498487402310444
304,305,0.0003709489998729998,0.06454061567227398,0.006240897992623284,0.6464469043884523
305,306,0.00036080757176903955,0.0639206315408627,0.006070847370091781,0.6430414440080798
306,307,0.00035094334333851673,0.06330635980746657,0.005905414131958331,0.6396326741568623
307,308,0.0003413487409164029,0.06269775257565835,0.005744473770328717,0.6362209085907451
308,309,0.00033201639759672386,0.062094762257266956,0.005587905087885092,0.6328064596686525
309,310,0.0003229391475968457,0.061497341572336106,0.005435590112389255,0.6293896382682174
310,311,0.0003141100207743053,0.06090544354902494,0.00528741401325572,0.6259707537032969
311,312,0.0003055222372956301,0.06031902152346913,0.005143265020153942,0.6225501136432913
312,313,0.00029716920244604594,0.05973802913958437,0.0050030343435948366,0.6191280240342858
313,314,0.000289044501583402,0.0591624203488329,0.0048666160974631945,0.6157047890220291
314,315,0.00028114189522732147,0.0585921494099374,0.004733907223450129,0.6122807108767677
315,316,0.00027345531428346614,0.058027170888555024,0.004604807417348145,0.6088560899199418
316,317,0.0002659788553964759,0.05746743965690759,0.0044792190571733,0.6054312244527638
317,318,0.00025870677643025086,0.05691291089336947,0.004357047133061176,0.6020064106866778
318,319,0.00025163349206958063,0.056363540082014496,0.004238199178914881,0.598581942675718
319,320,0.0002447535695434544,0.05581928301212358,0.004122585205753482,0.5951581122507644
320,321,0.00023806172446261264,0.055280095777654914,0.004010117636727872,0.5917352089557087
321,322,0.00023155281677467165,0.05474593477667522,0.003900711243768007,0.5883135199855252
322,323,0.00022522184682138846,0.05421675671075388,0.003794283085822747,0.5848933301262526
323,324,0.00021906395151249924,0.05369251858432411,0.0036907524486557985,0.5814749216968917
324,325,0.00021307440059725735,0.053173177704006314,0.003590040786164539,0.5780585744932079
325,326,0.00020724859303922205,0.052658691677901825,0.003492071663183438,0.5746445657334454
326,327,0.00020158205349152247,0.05214901841485031,0.003396770699741314,0.5712331700059419
327,328,0.0001960704288654913,0.05164411612365771,0.003304065516735566,0.5678246592186456
328,329,0.00019070948499555485,0.051143943312293216,0.0032138856829931894,0.5644193025505244
329,330,0.00018549510338994324,0.05064845878705537,0.0031261626636821527,0.5610173664048581
330,331,0.0001804232780779902,0.05015762165171134,0.003040829770047382,0.5576191143644078
331,332,0.00017549011253537028,0.04967139130660503,0.0029578221104292757,0.5542248071484542
332,333,0.00017069181669815414,0.04918972744774197,0.0028770765425516487,0.5508347025716881
333,334,0.0001660247040552454,0.048712590065844164,0.002798531627025147,0.5474490555049446
334,335,0.0001614851888223079,0.0482399394453813,0.0027221275820624724,0.5440681178377713
335,336,0.00015706978319163234,0.04777173616357833,0.0026478062393540114,0.540692138442806
336,337,0.0001527750946567208,0.04730794108939451,0.002575511001090325,0.5373213631419617
337,338,0.000148597823410479,0.046848515382486466,0.0025051867980986353,0.5339560346743922
338,339,0.0001445347598146851,0.04639342049214212,0.0024367800490636693,0.5305963926662274
339,340,0.00014058278193607165,0.04594261815619727,0.0023702386208096504,0.5272426736020583
340,341,0.00013673885315357293,0.04549607039992887,0.002305511789617909,0.5238951107981528
341,342,0.00013300001982663456,0.04505373953492997,0.0022425502035513523,0.5205539343773851
342,343,0.00012936340903069166,0.04461558815796429,0.0021813058457645917,0.5172193712458566
343,344,0.00012582622635060048,0.04418157914980192,0.0021217319987703043,0.5138916450711861
344,345,0.00012238575374035054,0.04375167567403582,0.0020637832096436215,0.5105709762624524
345,346,0.00011903934743229261,0.04332584117588534,0.0020074152561389003,0.507257581951762
346,347,0.00011578443591320209,0.04290403938097653,0.001952585113692673,0.5039516759774243
347,348,0.00011261851794686084,0.04248623429411136,0.0018992509232977905,0.5006534688687039
348,349,0.00010953916065636893,0.04207239019801945,0.0018473719602177807,0.4973631678321364
349,350,0.00010654399765674949,0.04166247165209469,0.0017969086035299897,0.4940809767393721
350,351,0.00010363072723851285,0.04125644349111879,0.001747822306467306,0.49080709611653095
351,352,0.00010079711060095864,0.040854270823968974,0.0017000755675472545,0.48754172313504185
352,353,9.804097013277335e-05,0.040455919032315935,0.0016536319024575974,0.48428505160393476
353,354,9.536018774181088e-05,0.04006135376930586,0.0016084558166910012,0.4810372719635738
354,355,9.275270322883777e-05,0.03967054095823164,0.0015645127789013502,0.47779857128078485
355,356,9.021651270457731e-05,0.03928344679119289,0.0015217691949670487,0.47456913324536987
356,357,8.774966705216158e-05,0.038900037727746306,0.0014801923827382213,0.47134913816797164
357,358,8.535027043177212e-05,0.03852028049354295,0.0014397505474618155,0.46813876297926116
358,359,8.3016478822584e-05,0.03814414207895589,0.0014004127578510772,0.4649381812304252
359,360,8.0746498609785e-05,0.037771589737700784,0.0013621489227964023,0.46174756309492326
360,361,7.853858520401324e-05,0.03740259098544685,0.0013249297686940276,0.458567075371487
361,362,7.639104170542588e-05,0.037037113598417215,0.0012887268173799038,0.45539688148833424
362,363,7.430221759707756e-05,0.036675125611981385,0.0012535123646465474,0.4522371415085703
363,364,7.227050748048747e-05,0.03631659531924636,0.0012192594593413153,0.4490880121367484
364,365,7.029434984062721e-05,0.03596149126962911,0.0011859418830130197,0.44594964672656
365,366,6.83722258485453e-05,0.035609782267434276,0.001153534130109879,0.44282219528962974
366,367,6.650265819252432e-05,0.035261437370418425,0.0011220113887004945,0.4397058045053822
367,368,6.468420994643065e-05,0.034916425888349645,0.0010913495217151903,0.4366006177319617
368,369,6.291548346359921e-05,0.03457471738156337,0.0010615250486852856,0.4335067750181608
369,370,6.119511930469113e-05,0.034236281659512424,0.0010325151279747535,0.4304244131163504
370,371,5.952179519363998e-05,0.03390108877931153,0.0010042975394822795,0.4273536654963669
371,372,5.789422500124264e-05,0.033569109044278234,0.0009768506678159428,0.4242946623603332
372,373,5.631115775761586e-05,0.03324031300247088,0.0009501534859089888,0.42124753065839404
373,374,5.477137669129828e-05,0.032914671445219645,0.0009241855390834663,0.4182123941053235
374,375,5.3273698294886707e-05,0.032592155405660184,0.0008989269295356372,0.415189373197992
375,376,5.181697141587449e-05,0.03227273615725845,0.0008743583012417178,0.41217858523365325
376,377,5.0400076371581726e-05,0.0319563852123359,0.0008504608252697388,0.40918014432903427
377,378,4.902192409039774e-05,0.03164307432059299,0.0008272161854815385,0.40619416144019493
378,379,4.768145527334067e-05,0.03133277546762858,0.000804606564625665,0.4032207443831326
379,380,4.637763958215135e-05,0.03102546087346103,0.0007826146307989834,0.4002599978551048
380,381,4.510947484592798e-05,0.03072110299104336,0.0007612235242770993,0.39731202345664907
381,382,4.3875986293073765e-05,0.03041967450478278,0.000740416844697056,0.39437691971426236
382,383,4.267622580189645e-05,0.030121148329055214,0.0007201786385855335,0.3914547821037284
383,384,4.1509271170414586e-05,0.029825497606721374,0.0007004933872234442,0.38854570307405667
384,385,4.037422540992264e-05,0.02953269570764272,0.0006813459948397105,0.38564977207201445
385,386,3.927021605543146e-05,0.029242716227196985,0.0006627217771204563,0.38276707556722367
386,387,3.8196394493872354e-05,0.02895553298479414,0.0006446064500297277,0.37989769707780063
387,388,3.715193531450556e-05,0.028671120022392804,0.0006269861189328596,0.37704171719651136
388,389,3.613603567320656e-05,0.028389451603018756,0.0006098472680112765,0.3741992136174245
389,390,3.514791467507106e-05,0.028110502209283128,0.0005931767499668394,0.3713702611630302
390,391,3.418681277556068e-05,0.02783424654190192,0.0005769617760015278,0.36855493181180876
391,392,3.325199119685873e-05,0.027560659518217956,0.0005611899060676828,0.3657532947262244
392,393,3.2342731359435994e-05,0.027289716270724962,0.0005458490393847049,0.36296541628111856
393,394,3.145833433015888e-05,0.027021392145592182,0.0005309274052103241,0.36019136009248587
394,395,3.059812028505249e-05,0.026755662701191674,0.000516413553861117,0.35743118704660615
395,396,2.976142798827297e-05,0.026492503706629145,0.0005022963479770493,0.3546849553295165
396,397,2.8947614282071044e-05,0.026231891140275687,0.0004885649540250503,0.35195272045679615
397,398,2.8156053593519914e-05,0.02597380118830439,0.0004752088340247429,0.3492345353036488
398,399,2.7386137453788706e-05,0.025718210243226958,0.0004622177375088743,0.3465304501352605
399,400,2.6637274030183455e-05,0.025465094902436758,0.00044958169369302414,0.3438405126374118
400,401,2.5908887671954872e-05,0.02521443196675277,0.00043729100386269426,0.34116476794732686
401,402,2.520041846720833e-05,0.024966198438968412,0.0004253362339640132,0.33850325868474196
402,403,2.4511321813691644e-05,0.024720371522402473,0.0004137082073960574,0.33585602498316547
403,404,2.3841067998464638e-05,0.024476928619457272,0.0004023979979996817,0.33322310452132764
404,405,2.3189141793333867e-05,0.024235847330175808,0.0003913969232350878,0.3306045325547853
405,406,2.2555042055949492e-05,0.0239971054508068,0.00038069653754579935,0.3280003419476746
406,407,2.1938281347333444e-05,0.02376068097237305,0.0003702886259020488,0.32541056320459194
407,408,2.133838555562484e-05,0.023526552079243368,0.0003601651975184694,0.32283522450258406
408,409,2.07548935322599e-05,0.023294697147711818,0.0003503184797450931,0.3202743517232358
409,410,2.018735673814387e-05,0.0230650947445753,0.0003407409121219951,0.31772796848483487
410,411,1.963533889703939e-05,0.022837723625723894,0.00033142514059469885,0.315196096174599
411,412,1.9098415663054702e-05,0.02261256273473189,0.0003223640118895643,0.3126787539809548
412,413,1.8576174291684566e-05,0.022389591201451786,0.0003135505680406103,0.3101759589258489
413,414,1.806821332450692e-05,0.02216878834061875,0.00030497804106399684,0.3076877258970768
414,415,1.7574142281095995e-05,0.02195013365045717,0.0002966398477786125,0.30521406768061743
415,416,1.7093581354821197e-05,0.02173360681129044,0.00028852958476766055,0.30275499499296243
416,417,1.66261611275198e-05,0.021519187684162944,0.00028064102347469255,0.3003105165134209
417,418,1.6171522279728734e-05,0.021306856309459166,0.0002729681054384203,0.2978806389163884
418,419,1.5729315318013803e-05,0.021096592905535783,0.0002655049376505403,0.2954653669035756
419,420,1.5299200303853233e-05,0.020888377867355312,0.0002582457880443423,0.2930647032361704
420,421,1.4880846594844677e-05,0.020682191765126645,0.00025118508110422155,0.2906786487669336
421,422,1.44739325892429e-05,0.02047801534295124,0.00024431739359653815,0.28830720247221286
422,423,1.4078145477602888e-05,0.020275829517477306,0.0002376374504122758,0.28595036148386166
423,424,1.3693181006191324e-05,0.020075615376555334,0.00023114012053038202,0.2836081211210564
424,425,1.3318743237511477e-05,0.01987735417790748,0.00022482041308125034,0.28128047492199737
425,426,1.2954544328591666e-05,0.019681027347793756,0.00021867347352688693,0.27896741467548725
426,427,1.2600304305498966e-05,0.019486616479693186,0.00021269457993799978,0.27666893045237717
427,428,1.225575085050945e-05,0.019294103332984758,0.0002068791393771141,0.27438501063686715
428,429,1.1920619091387863e-05,0.019103469831639575,0.00020122268437705593,0.27211564195765636
429,430,1.1594651398660893e-05,0.018914698062916346,0.00019572086951691325,0.26986080951893165
430,431,1.1277597187220323e-05,0.01872777027606487,0.00019036946809103394,0.2676204968311908
431,432,1.0969212724809552e-05,0.018542668881035396,0.00018516436886961696,0.2653946858418833
432,433,1.066926094250853e-05,0.018359376447196873,0.00018010157294467977,0.26318335696587114
433,434,1.0377511254100469e-05,0.018177875702056756,0.00017517719066539872,0.2609864891156971
434,435,1.009373937832514e-05,0.01799814952999479,0.00017038743865593897,0.258804059731651
435,436,9.817727166572254e-06,0.017820180970995803,0.00016572863691266537,0.25663604481163493
436,437,9.549262436236994e-06,0.017643953219396047,0.00016119720598251064,0.25448241894081347
437,438,9.288138805185753e-06,0.017469449622633193,0.00015678966421794893,0.25234315532104434
438,439,9.034155534881627e-06,0.01729665368000266,0.00015250262510713153,0.250218225800089
439,440,8.787117376507503e-06,0.01712554904142083,0.00014833279467407756,0.2481076009005876
440,441,8.54683441975368e-06,0.016956119506200573,0.00014427696895502606,0.2460112498488044
441,442,8.313121946379454e-06,0.016788349021823912,0.0001403320315374046,0.24392914060312965
442,443,8.085800290325018e-06,0.01662222168273053,0.00013649495117074029,0.24186123988233554
443,444,7.864694697490293e-06,0.01645772172911042,0.00013276277944107573,0.23980751319358418
444,445,7.649635192508164e-06,0.016294833545702603,0.0001291326485068911,0.2377679248601806
445,446,7.440456447849186e-06,0.016133541660598993,0.0001256017689013067,0.23574243804906803
