,Day since infection,"Proba Neut Min
 vs. BA.2 antigen","Proba Neut Max
 vs. BA.2 antigen","Proba Neut Min
 vs. B303000 antigen","Proba Neut Max
 vs. B303000 antigen"
357,358,0.0014397505474618155,0.46813876297926116,0.0007002319060708251,0.27010226267486503
358,359,0.0014004127578510772,0.4649381812304252,0.0006810917004018702,0.2678623588590727
359,360,0.0013621489227964023,0.46174756309492326,0.0006624744709096131,0.2656369166637884
360,361,0.0013249297686940276,0.458567075371487,0.0006443659390915624,0.2634259171608667
361,362,0.0012887268173799038,0.45539688148833424,0.0006267522156893079,0.26122933991734454
362,363,0.0012535123646465474,0.4522371415085703,0.000609619790109206,0.25904716302531905
363,364,0.0012192594593413153,0.4490880121367484,0.000592955520128835,0.25687936313162363
364,365,0.0011859418830130197,0.44594964672656,0.0005767466218827844,0.2547259154672976
365,366,0.001153534130109879,0.44282219528962974,0.0005609806601168943,0.252586793876847
366,367,0.0011220113887004945,0.4397058045053822,0.0005456455387073955,0.2504619708472817
367,368,0.0010913495217151903,0.4366006177319617,0.0005307294914386196,0.24835141753693746
368,369,0.0010615250486852856,0.4335067750181608,0.0005162210730260686,0.2462551038040598
369,370,0.0010325151279747535,0.4304244131163504,0.000502109150384844,0.24417299823516014
370,371,0.0010042975394822795,0.4273536654963669,0.0004883828941346646,0.24210506817312993
371,372,0.0009768506678159428,0.4242946623603332,0.0004750317703339224,0.24005127974511142
372,373,0.0009501534859089888,0.42124753065839404,0.0004620455324385597,0.23801159789011817
373,374,0.0009241855390834663,0.4182123941053235,0.00044941421347832744,0.2359859863864079
374,375,0.0008989269295356372,0.415189373197992,0.00043712811844531796,0.23397440787859236
375,376,0.0008743583012417178,0.41217858523365325,0.0004251778168880005,0.2319768239044927
376,377,0.0008504608252697388,0.40918014432903427,0.00041355413570709487,0.22999319492172743
377,378,0.0008272161854815385,0.40619416144019493,0.0004022481521472887,0.22802348033403552
378,379,0.000804606564625665,0.4032207443831326,0.0003912511869768043,0.22606763851732825
379,380,0.0007826146307989834,0.4002599978551048,0.0003805547978549262,0.22412562684546777
380,381,0.0007612235242770993,0.39731202345664907,0.0003701507728771647,0.22219740171577218
381,382,0.000740416844697056,0.39437691971426236,0.00036003112429761064,0.22028291857424043
382,383,0.0007201786385855335,0.3914547821037284,0.00035018808241893407,0.21838213194049994
383,384,0.0007004933872234442,0.38854570307405667,0.00034061408965235795,0.2164949954324663
384,385,0.0006813459948397105,0.38564977207201445,0.00033130179473384036,0.21462146179072772
385,386,0.0006627217771204563,0.38276707556722367,0.00032224404710412546,0.21276148290263563
386,387,0.0006446064500297277,0.37989769707780063,0.0003134338914341228,0.21091500982611167
387,388,0.0006269861189328596,0.37704171719651136,0.00030486456230394143,0.20908199281316586
388,389,0.0006098472680112765,0.3741992136174245,0.0002965294790250317,0.20726238133312702
389,390,0.0005931767499668394,0.3713702611630302,0.00028842224060388055,0.20545612409557834
390,391,0.0005769617760015278,0.36855493181180876,0.00028053662084015496,0.20366316907300386
391,392,0.0005611899060676828,0.3657532947262244,0.00027286656356273475,0.20188346352314535
392,393,0.0005458490393847049,0.36296541628111856,0.00026540617798942456,0.2001169540110601
393,394,0.0005309274052103241,0.36019136009248587,0.00025814973421911525,0.19836358643089413
394,395,0.000516413553861117,0.35743118704660615,0.00025109165884096285,0.19662330602735345
395,396,0.0005022963479770493,0.3546849553295165,0.00024422653066691336,0.19489605741688942
396,397,0.0004885649540250503,0.35195272045679615,0.00023754907657835833,0.1931817846085857
397,398,0.0004752088340247429,0.3492345353036488,0.0002310541674876987,0.1914804310247552
398,399,0.0004622177375088743,0.3465304501352605,0.0002247368144067119,0.18979193952124263
399,400,0.00044958169369302414,0.3438405126374118,0.0002185921646257194,0.18811625240743501
400,401,0.00043729100386269426,0.34116476794732686,0.00021261549799356239,0.18645331146598076
401,402,0.0004253362339640132,0.33850325868474196,0.00020680222330093923,0.18480305797221808
402,403,0.0004137082073960574,0.33585602498316547,0.0002011478747611095,0.1831654327133092
403,404,0.0004023979979996817,0.33322310452132764,0.0001956481085886308,0.1815403760070914
404,405,0.0003913969232350878,0.3306045325547853,0.00019029869966646906,0.17992782772063287
405,406,0.00038069653754579935,0.3280003419476746,0.00018509553830992065,0.17832772728850677
406,407,0.0003702886259020488,0.32541056320459194,0.00018003462711280172,0.17674001373077275
407,408,0.0003601651975184694,0.32283522450258406,0.00017511207788611927,0.1751646256706786
408,409,0.0003503184797450931,0.3202743517232358,0.00017032410867412473,0.17360150135207586
409,410,0.0003407409121219951,0.31772796848483487,0.00016566704085374528,0.1720505786565515
410,411,0.00033142514059469885,0.315196096174599,0.0001611372963162827,0.17051179512028158
411,412,0.0003223640118895643,0.3126787539809548,0.00015673139471938935,0.16898508795060208
412,413,0.0003135505680406103,0.3101759589258489,0.0001524459508216447,0.16747039404230524
413,414,0.00030497804106399684,0.3076877258970768,0.00014827767188196894,0.16596764999365743
414,415,0.0002966398477786125,0.30521406768061743,0.00014422335513686324,0.16447679212214317
415,416,0.00028852958476766055,0.30275499499296243,0.0001402798853419318,0.16299775647993653
416,417,0.00028064102347469255,0.3003105165134209,0.00013644423238201586,0.16153047886910443
